评分,comments,sentiment
4,桂林 与 阳朔 个别 山岩 上 能 看到 攀岩 活动 ， 真 羡慕 与 佩服 那些 攀岩 者 ， 好 胆量 啊 ！,positive
4,这个 地方 非常 漂亮 很 好玩 ， 非常 帮 。 下次 还要 再 。 非常 值得 推荐 。,positive
4,户外 攀岩 很 有意思 ， 保护 要 做好,positive
3,玩 不是 算多 上次 过去 时候 没有 开,neutral
