date,ip 属地,评分,comments
2020-01-08,未知,4,再遇阳朔失恋愽物馆位于广西壮族自治区桂林市阳朔县的中心，阳朔西街116号二楼上，靠近状元门。上榜桂林市展览馆热门榜第五名。开放时间：周一到周日的10：00-23：00，22：00停止入场。我们是在游玩阳朔西街的时候，无意间发现这家愽物馆的，但未进入参观。
2021-02-14,未知,1,来了两次都没开门，是不开了吗。
